id_del_proceso,referencia_del_proceso,entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,modalidad_corta,tipo_de_contrato,nombre_del_procedimiento,fecha_de_publicacion_del,fecha_adjudicacion,anio_adjudicacion,precio_base,valor_total_adjudicacion,respuestas_al_procedimiento,proveedores_unicos_con,proveedores_invitados,rango_oferentes,baja_competencia,nombre_del_proveedor,nit_del_proveedor_adjudicado,departamento_proveedor,ciudad_proveedor,estado_del_procedimiento,estado_resumen
CO1.REQ.9068570,25001282 H4 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),AEROCIVIL,899999059,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Obra,REALIZAR EL MANTENIMIENTO RUTINARIO LADO AIRE EN PISTA 03-21 DEL AEROPUERTO CAMILO DAZA DE CÚCUTA (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-10-10,2025-10-28,2025.0,520000000,519595966,1,1,18,1 oferente,1,CONSORCIO PISTA 03-21 CUCUTA,900613899,No Definido,Cúcuta,Seleccionado,Adjudicado
CO1.REQ.6009422,IDCBIS-CD-2024100590-2024,"INSTITUTO  DISTRITAL DE CIENCIA, BIOTECNOLOGIA E INNOVACIÓN EN SALUD - IDCBIS",9010347905,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Otro,Adquisición de anticuerpos monoclonales para desarrollar las investigaciones en inmunoterapia; en el marco de la ejecución de recursos de la Transferencia  3170 de 2023,2024-03-27,2024-05-02,2024.0,57641000,2293000,4,4,0,2-5 oferentes,0,GENPRODUCTS COMPANY SAS,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.2922414,IPMC-DTOR-012-2022,PARQUES NACIONALES NATURALES DE COLOMBIA - DIRECCION TERRITORIAL ORINOQUIA,900382496,Meta,Villavicencio,Nacional,Mínima cuantía,Mínima Cuantía,Otro,Contratar el servicio de aseo y cafetería; en la sede administrativa ubicada en el municipio de Granada y en la cabaña Cerillo ubicada en San Juan de Arama del Parque Nacional Natural Sierra de la Mac,2022-02-28,2022-03-09,2022.0,18017300,16493202,6,6,0,6+ oferentes,0,GRUPO EMPRESARIAL EFRATA S.A.S,901043728,Sucre,Sincelejo,Seleccionado,Adjudicado
CO1.REQ.3076625,MCSP3722,INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,891280001,Nariño,No Definido,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,SUMINISTRO MATERIALES LSP,2022-06-29,2022-07-12,2022.0,44579949,2800000,5,5,0,2-5 oferentes,0,QUIMITRONICA SAS,830051965,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.650365,IP-DO-SRN-035,INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,SERVICIO DE AMBULANCIA MEDICALIZADA,2018-12-10,2018-12-20,2018.0,59933200,58012500,2,2,0,2-5 oferentes,0,ASISMEDIC SAS,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3006321,SASI-ANT-CIAA-00140-2022 (Presentación de oferta),SENA REGIONAL ANTIOQUIA Grupo Administrativo CIAA,899999034,Antioquia,Rionegro,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Suministros,SASI - ANT - CIAA - 00140 - 2022 Suministro de materiales de formación (Presentación de oferta),2022-05-11,2022-06-22,2022.0,1069169672,10790526,24,24,0,6+ oferentes,0,DESVARE AEREO,830025735,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.6760010,PN HOCEN MI 033 2024,HOSPITAL CENTRAL DE LA POLICIA,830067597,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Suministros,SUMINISTRO COMPONENTES SANGUÍNEOS PARA EL SERVICIO DE GESTIÓN PRETRANSFUSIONAL DEL HOSPITAL CENTRAL CON DESTINO A LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL,2024-09-02,2024-09-13,2024.0,52000000,52000000,1,1,0,1 oferente,1,Cruz Roja Colombiana,899999025,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.8037089,SED-LP-OP-DCCEE-012-2025 (Fase de Selección (Presentación de ofertas)),SECRETARIA DE EDUCACION DEL DISTRITO,8999990619,Distrito Capital de Bogotá,No Definido,Territorial,Licitación pública Obra Publica,Licitación Obra Pública,Obra,ADELANTAR OBRAS DE ADECUACIÓN; MEJORAMIENTO Y MANTENIMIENTO CORRECTIVO DE LAS PLANTAS FÍSICAS DE LA SECRETARÍA DE EDUCACIÓN DEL DISTRITO; ASÍ COMO LA EJECUCIÓN DE OBRAS MENORES; QUE PERMITAN A TRAVÉS,2025-03-28,2025-08-05,2025.0,43732438887,2426857240,159,159,0,6+ oferentes,0,CONSORCIO EDUCATIVO 25,No Definido,No Definido,Bogotá,Seleccionado,Adjudicado
CO1.REQ.5453603,LP-DEO-SGI-097-2023 (Presentación de oferta),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública,Licitación Pública,Prestación de servicios,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VÍAS A CARGO DEL INVÍAS DIRECCION TERRITORIAL CAUCA GRUPO 2 MODULO 1 AL 13 (Presentación de oferta),2023-12-23,2024-05-10,2024.0,21544980940,1351240691,46,45,0,6+ oferentes,0,COOPERATIVA DE TRABAJO ASOCIADO LA NUEVA GALEZ,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.955111,144-00-A-COFAC-DIFRA-2019 (Fase de Selección (Presentación de ofertas)),FUERZA AEROESPACIAL COLOMBIANA,899999102,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Licitación Obra Pública,Obra,CONSTRUCCION; INFRAESTRUCTURA Y EQUIPOS ALOJAMIENTO MILITAR PERSONAL SUBOFICIALES SOLTEROS EN LA ESCUELA MILITAR DE AVIACIÓN EN CALI - VALLE DEL CAUCA (Fase de Selección (Presentación de ofertas)),2019-09-04,2019-10-21,2019.0,5534809159,5432854079,16,16,0,6+ oferentes,0,CONSORCIO CURA - CACM,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
